cod_setor,pop,renda_mensal_total
330020905000004,193,151594
330020905000005,617,381566
330020905000006,421,269929
330020905000007,267,217022
330020905000008,272,176294
330020905000009,340,208872
330020905000010,369,224850
330020905000011,557,422566
330020905000012,148,84916
330020905000013,336,413183
330020905000014,269,307880
330020905000015,265,231608
330020905000016,287,201699
330020905000017,600,256309
330020905000018,217,221885
330020905000019,408,284131
330020905000020,284,242855
330020905000021,513,239444
330020905000022,439,252126
330020905000023,221,207338
330020905000024,202,179705
330020905000025,205,243507
330020905000026,187,172157
330020905000027,202,223309
330020905000028,315,347438
330020905000029,401,601120
330020905000030,321,249821
330020905000031,486,449174
330020905000032,409,671940
330020905000033,291,359403
330020905000034,397,689809
330020905000035,493,342540
330020905000036,603,585100
330020905000037,721,734696
330020905000038,679,270865
330020905000039,580,207196
330020905000040,669,362075
330020905000041,956,430636
330020905000042,451,146656
330020905000043,591,417460
330020905000044,392,220253
330020905000045,386,255365
330020905000046,463,285788
330020905000047,565,677383
330020905000048,558,396823
330020905000049,502,255415
330020905000050,466,396878
330020905000051,579,258619
330020905000052,772,572802
330020905000053,683,377349
330020905000054,807,479393
330020905000055,816,250665
330020905000056,720,344623
330020905000057,665,310154
330020905000058,895,476210
330020905000059,235,185857
330020905000060,701,288894
330020905000061,548,141126
330020905000062,584,233755
330020905000063,554,285977
330020905000064,983,458358
330020905000065,674,225961
330020905000066,804,420169
330020905000067,665,393085
330020905000068,208,97967
330020905000069,264,142438
330020905000070,1003,276681
330020905000071,668,361959
330020905000072,426,320698
330020905000073,344,259187
330020905000074,637,673881
330020905000075,303,463257
330020905000076,759,684948
330020905000077,283,376131
330020905000078,290,304468
330020905000079,465,533456
330020905000080,653,733827
330020905000081,1036,671676
330020905000082,570,497896
330020905000083,566,246007
330020905000084,459,172371
330020905000085,873,420505
330020905000086,361,154592
330020905000087,278,54580
330020905000088,366,205586
330020905000089,40,31755
330020905000090,78,21090
330020905000091,259,100030
330020905000092,502,183828
330020905000093,416,160554
330020905000094,412,163428
330020905000095,309,183326
330020905000096,387,202981
330020905000097,170,119122
330020905000098,276,232171
330020905000099,537,322183
330020905000100,344,253434
330020905000101,265,281211
330020905000102,432,295472
330020905000103,365,340685
330020905000104,343,568606
330020905000105,225,289515
330020905000106,572,857907
330020905000107,445,336566
330020905000108,274,415176
330020905000109,460,1027626
330020905000110,105,167147
330020905000111,31,51140
330020905000112,156,361352
330020905000113,42,14254
330020905000114,413,138787
330020905000115,346,115894
330020905000116,107,27353
330020905000117,845,266992
330020905000118,1735,482749
330020905000119,759,282362
330020905000120,176,57457
330020905000121,94,33141
330020905000122,119,177556
330020905000124,299,109561
330020905000125,96,34172
330020905000126,526,294085
330020905000127,448,740217
330020905000128,540,273457
330020905000129,261,290692
330020905000130,666,365071
330020905000131,346,214178
330020905000132,409,211850
330020905000133,705,254931
330020905000134,519,138978
330020905000135,652,271602
330020905000136,487,254878
330020905000137,327,336233
330020905000138,551,137347
330020905000139,154,79071
330020905000140,487,161347
330020905000141,429,102937
330020905000142,458,203013
330020905000143,568,345623
330020905000144,300,134566
330020905000145,295,88888
330020905000146,388,314393
330020905000147,604,648206
330020905000148,514,623549
330020905000149,155,58721
330020905000150,251,127745
330020905000151,201,100217
330020905000152,266,77977
330020905000153,428,160642
330020905000154,53,20711
330020905000155,102,49880
330020905000156,171,69331
330020905000157,758,221925
330020905000158,121,42927
330020905000159,141,64156
330020905000160,151,37370
330020905000161,422,108163
330020905000162,272,133771
330020905000163,184,69209
330020905000164,20,X
330020905000165,478,159064
330020905000166,152,82266
330020905000167,145,47416
330020905000168,31,9680
330020905000169,227,63269
330020905000170,90,32295
330020905000171,214,52725
330020905000172,41,13970
330020905000173,41,12910
330020905000174,147,49186
330020905000175,49,37740
330020905000176,402,139509
330020905000177,63,22652
330020905000178,23,5500
330020905000179,287,72521
330020905000180,17,X
330020905000181,99,33084
330020905000182,120,52560
330020905000183,36,11107
330020905000184,63,26740
330020905000185,58,26564
330020905000186,231,66055
330020905000187,103,23682
330020905000188,556,146461
330020905000189,544,160435
330020905000190,604,230118
330020905000191,527,239008
330020905000192,326,96816
330020908000001,130,139430
330020908000002,106,100431
330020908000003,204,345689
330020908000004,119,123123
330020908000005,340,235136
330020908000006,406,311670
330020908000007,134,115398
330020908000008,157,139737
330020908000009,65,59499
330020908000010,333,159085
330020908000011,418,139575
330020908000012,343,98160
330020908000013,456,196604
330020908000014,248,137572
330020908000015,157,148432
330020908000016,145,198689
330020908000017,152,184633
330020908000018,105,117585
330020908000019,128,109607
330020908000020,333,178105
330020908000021,360,160658
330020908000022,215,100909
330020908000023,517,226671
330020908000024,144,238208
330020908000025,213,230191
330020908000026,128,138153
330020908000027,204,144910
330020908000028,243,214589
330020908000029,211,160880
330020908000031,287,85715
330020908000032,62,96131
330020908000033,301,245389
330020908000034,156,226122
330020908000035,157,149858
330020908000036,158,113776
330020908000037,310,101023
330020908000038,174,99665
330020908000039,140,121181
330020908000040,307,159229
330020908000041,141,29617
330020908000042,349,101400
330020908000043,47,9190
330020908000044,121,31911
330020908000045,64,14440
330020908000046,67,18185
330020908000047,532,157307
330020908000048,227,68643
330020910000001,417,173355
330020910000002,691,268196
330020910000003,888,358131
330020910000004,759,283172
330020910000005,247,105447
330020910000006,599,260557
330020910000007,550,182187
330020910000008,617,202928
330020910000009,73,50740
330020910000010,354,104775
330020910000011,422,128987
330020910000012,365,85660
330020910000013,275,55243
330020910000014,61,12890
330020910000015,226,65921
330020910000016,447,151821
330020910000017,118,36619
330020910000018,354,105492
330020910000019,602,223311
330020910000020,726,209737
330020910000021,171,40050
330020912000001,243,185667
330020912000002,325,302341
330020912000003,411,284504
330020912000004,329,284846
330020912000005,145,79060
330020912000006,182,147685
330020912000007,45,47339
330020912000008,85,69721
330020912000009,103,136661
330020912000010,103,107940
330020912000011,149,145359
330020912000012,156,192154
330020912000013,277,255295
330020912000014,61,43873
330020912000015,308,272159
330020912000017,351,95909
330020912000018,67,30636
330020912000019,158,127424
330020915000001,811,406130
330020915000002,636,324342
330020915000003,447,140816
330020915000004,664,242678
330020915000005,758,126309
330020915000006,426,169054
330020915000007,435,241883
330020915000008,455,250849
330020915000009,91,31670
330020915000010,244,81086
330020915000011,65,21534
330020915000012,300,86346
330020915000013,41,19522
330020915000014,303,82698
330020915000015,122,32198
330020915000016,176,50554
330020915000017,90,19230
330020915000018,1017,253675
330020915000019,355,80208
330020915000020,354,68015
330020915000021,64,9890
330020915000022,97,16990
330020915000023,50,13230
330020915000024,52,6410
330020915000025,42,6975
330020915000026,13,X
330020915000027,7,X
330020915000028,624,218413
330020915000029,710,237193
330020915000030,565,201345
330020915000031,1050,334304
330020915000032,146,50360
330020915000033,459,176793
330020915000034,110,23455
330020915000035,863,284047
330022505000001,816,459762
330022505000002,434,288204
330022505000003,767,364320
330022505000004,545,365529
330022505000005,454,193645
330022505000006,307,146196
330022505000007,595,313495
330022505000008,449,346621
330022505000009,790,565356
330022505000010,490,176832
330022505000011,671,343465
330022505000012,902,373521
330022505000013,918,363966
330022505000014,404,186149
330022505000015,403,125904
330022505000016,55,20951
330022505000017,302,93883
330022505000018,623,186429
330022505000019,439,197719
330022505000020,567,313062
330022505000021,129,141530
330022505000022,336,122858
330023305000001,190,217754
330023305000002,214,254571
330023305000003,208,192907
330023305000004,209,316443
330023305000005,151,130692
330023305000006,352,383104
330023305000007,254,272131
330023305000008,132,134595
330023305000009,164,171672
330023305000010,845,576254
330023305000011,624,645463
330023305000012,225,206594
330023305000013,201,147558
330023305000014,314,265874
330023305000015,91,56075
330023305000016,393,310751
330023305000017,378,351593
330023305000018,99,114270
330023305000019,338,200822
330023305000020,663,378029
330023305000021,720,344233
330023305000022,524,254384
330023305000023,428,212633
330023305000024,513,267830
330023305000025,824,431771
330023305000026,351,120458
330023305000027,824,504182
330023305000028,733,443082
330023305000029,552,341428
330023305000030,53,58200
330023305000031,140,109285
330023305000032,69,48780
330023305000033,438,979680
330023305000034,210,308955
330023305000035,294,319452
330023305000036,354,270634
330023305000037,589,430804
330023305000038,638,350500
330023305000039,156,139983
330023305000040,232,274944
330023305000041,72,94613
330023305000042,109,132875
330023305000043,222,341627
330023305000045,502,244982
330023305000046,524,281789
330023305000047,394,209756
330023305000048,299,174864
330023305000049,451,222384
330023305000050,165,122303
330023305000051,695,293098
330023305000052,404,477772
330023305000053,468,316944
330023305000054,549,508159
330023305000055,266,299897
330023305000056,141,175889
330023305000057,506,287415
330023305000058,736,376979
330023305000059,711,414132
330023305000060,624,345197
330023305000061,268,113327
330023305000062,417,292806
330023305000063,151,298529
330023305000064,176,100789
330023305000065,210,168930
330023305000066,203,143532
330023305000067,428,274496
330023305000068,508,399034
330023305000069,338,164398
330023305000070,696,306626
330023305000071,987,378237
330023305000072,493,140744
330025805000001,160,146955
330025805000002,643,540392
330025805000003,595,390827
330025805000004,742,577001
330025805000005,412,294428
330025805000006,415,284303
330025805000007,495,306470
330025805000008,249,276903
330025805000009,284,305925
330025805000010,414,347583
330025805000011,426,419782
330025805000012,299,256630
330025805000013,532,278749
330025805000014,393,255724
330025805000015,333,244984
330025805000016,280,168618
330025805000017,471,256811
330025805000018,374,334670
330025805000019,207,150982
330025805000020,267,287811
330025805000021,238,166563
330025805000022,224,118067
330025805000023,680,409370
330025805000024,844,526512
330025805000025,436,234795
330025805000026,378,197540
330025805000027,586,212909
330025805000028,280,117807
330025805000029,372,146701
330025805000030,458,226238
330025805000031,806,649392
330025805000032,116,67050
330025805000033,620,257435
330025805000034,363,169105
330025805000035,114,170399
330025805000036,31,71110
330025805000037,32,50798
330025805000038,425,148320
330025805000039,604,240113
330025805000040,109,26214
330025805000041,698,314129
330025805000042,400,171818
330025805000043,52,19617
330025805000044,794,368103
330025805000045,394,229290
330025805000046,288,239400
330025805000047,211,123333
330025805000048,131,43770
330025805000049,98,78294
330025805000050,140,102082
330025805000051,142,46401
330025805000052,193,96416
330025805000053,222,111916
330025805000054,332,142500
330025805000055,214,160683
330025805000056,530,283683
330025805000057,64,91429
330025805000058,183,113271
330025805000059,450,298640
330025805000060,211,116985
330025805000061,174,82601
330025805000062,182,95629
330025805000063,350,145553
330025805000064,311,255187
330025805000065,236,121407
330025805000066,644,344223
330025805000068,230,225245
330025805000069,302,246962
330025805000070,60,120730
330025805000071,23,54870
330025805000072,157,68998
330025805000073,292,215621
330025805000074,48,26823
330025805000075,368,145259
330025805000076,290,129469
330025805000077,149,82916
330025805000078,128,88319
330025805000079,189,61210
330025805000080,393,142812
330025805000081,302,128977
330025805000082,141,68545
330025805000083,177,93559
330025805000084,746,219551
330025805000085,269,143292
330030805000001,180,282543
330030805000002,298,474562
330030805000003,166,352253
330030805000004,226,369235
330030805000005,532,889175
330030805000006,19,9063
330030805000007,235,X
330030805000008,234,177802
330030805000009,435,241990
330030805000010,520,237453
330030805000011,500,248111
330030805000012,753,305420
330030805000013,211,82738
330030805000014,284,115530
330030805000015,35,33931
330030805000016,556,539425
330030805000017,291,345760
330030805000018,413,371642
330030805000019,126,143861
330030805000020,542,614707
330030805000021,769,367409
330030805000022,296,91742
330030805000023,571,182916
330030805000024,381,287430
330030805000025,552,483240
330030805000026,499,194903
330030805000027,209,73652
330030805000028,708,300534
330030805000029,576,341439
330030805000030,768,462498
330030805000031,444,219949
330030805000032,545,308426
330030805000033,410,197984
330030805000034,507,344497
330030805000035,587,298732
330030805000036,438,173433
330030805000037,457,202034
330030805000038,324,126107
330030805000039,549,265328
330030805000040,390,178359
330030805000041,50,30126
330030805000042,370,244125
330030805000043,575,223468
330030805000044,367,122896
330030805000045,746,223440
330030805000046,779,268649
330030805000047,653,364993
330030805000048,122,76457
330030805000049,316,244717
330030805000050,512,449205
330030805000051,476,594253
330030805000052,518,568445
330030805000053,562,249776
330030805000054,699,328242
330030805000055,769,221197
330030805000056,359,134372
330030805000058,563,279138
330030805000059,181,74032
330030805000060,1133,348347
330030805000061,514,203035
330030805000062,596,265434
330030805000063,767,277801
330030805000064,62,17391
330030805000065,103,26982
330030805000066,384,292808
330030805000067,682,537136
330030805000068,1030,573889
330030805000069,530,183064
330030805000070,542,277225
330030805000071,638,429379
330030805000072,583,453051
330030805000073,894,490107
330030805000074,299,316777
330030805000075,142,197996
330030805000076,212,221453
330030805000077,580,605587
330030805000078,779,670232
330030805000079,645,289242
330030805000080,291,X
330030805000081,680,246020
330030805000082,424,231146
330030805000083,344,174195
330030805000084,934,325389
330030805000085,681,273660
330030805000086,970,385635
330030805000087,493,229982
330030805000088,179,62208
330030805000089,222,87089
330030805000090,26,11595
330030805000091,90,64924
330030805000092,183,328356
330030805000093,270,561448
330030805000094,128,267263
330030805000095,692,1360656
330030805000096,152,231920
330030805000097,6,X
330030805000098,695,523193
330030805000099,509,308687
330030805000100,384,363795
330030805000102,818,375804
330030805000103,4,X
330030805000104,217,X
330030805000105,772,274321
330030805000106,554,350033
330030805000107,675,348555
330030805000108,370,294793
330030805000110,888,763888
330030805000111,162,139710
330030805000112,111,82350
330030805000113,107,92970
330030805000114,449,298990
330030805000115,133,X
330030805000116,683,313940
330030805000117,71,69953
330030805000118,31,X
330030805000119,9,X
330030805000120,692,231412
330030805000121,7,X
330030805000122,58,X
330030805000123,349,297801
330030805000125,105,69417
330030805000126,67,55375
330030805000127,257,173841
330030805000128,201,116898
330030805000129,6,X
330030805000130,191,77091
330030805000131,411,202643
330030805000132,201,66564
330030805000133,190,79336
330030805000134,110,60652
330030805000135,44,20596
330030805000136,111,66865
330030805000138,682,309547
330030805000139,618,395171
330030805000140,167,83272
330030805000141,473,209498
330030805000142,36,16630
330030805000144,254,105382
330030805000145,339,119425
330030805000146,406,177194
330030805000147,76,27366
330030805000148,197,119952
330030805000149,99,X
330030805000150,7,X
330030805000151,470,238726
330030805000152,307,124272
